,ski_resort,address,city,state,zipcode,sumt,drop,base,gondolas_and_trams,fastEight,highSpeedSixes,quadChairs,tripleChairs,doubleChairs,surfeLifts,totalRuns (acre),longestRun (miles),daysOpenLastYear,averageSnowfall (inches),projectedOpening,projectedClosing,NovSnow,DecSnow,JanSnow,FebSnow,MarSnow,AprSnow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,Url,beginner_runs,intermediate_runs,advanced_runs,expert_runs,epic,mountain_collective,ikon,indy,dec_mean_2_guests,dec_min_2_guests,dec_max_2_guests,jan_mean_2_guests,jan_min_2_guests,jan_max_2_guests,feb_mean_2_guests,feb_min_2_guests,feb_max_2_guests,mar_mean_2_guests,mar_min_2_guests,mar_max_2_guests,apr_mean_2_guests,apr_min_2_guests,apr_max_2_guests,may_mean_2_guests,may_min_2_guests,may_max_2_guests,dec_mean_4_guests,dec_min_4_guests,dec_max_4_guests,jan_mean_4_guests,jan_min_4_guests,jan_max_4_guests,feb_mean_4_guests,feb_min_4_guests,feb_max_4_guests,mar_mean_4_guests,mar_min_4_guests,mar_max_4_guests,apr_mean_4_guests,apr_min_4_guests,apr_max_4_guests,may_mean_4_guests,may_min_4_guests,may_max_4_guests,full_address,latitude,longitude,total_lifts
83,Ski Mystic at Deer Mountain,PO Box 622,Lead,South Dakota,57754,6850,940,6040,0.0,0.0,0.0,0.0,1.0,1.0,2.0,50,1.6,69,200,December 13 2025,March 31 2026,0.6,6.0,6.0,6.0,3.0,0.0,36,45,5,36,45,5,32,39,5,55,https://www.onthesnow.com/south-dakota/ski-mystic-at-deer-mountain/ski-resort.html,29,48,24,0,0,0,0,0,151.25714285714287,70.0,350.0,154.6,71.0,359.0,154.91428571428568,71.0,359.0,172.28571428571428,76.0,359.0,169.0,77.0,359.0,129.60714285714286,40.0,377.0,220.57142857142856,78.0,377.0,206.3142857142857,71.0,410.0,219.28571428571428,76.0,400.0,241.0,71.0,388.0,224.0,99.0,359.0,187.33333330000002,75.0,377.0,"PO Box 622, Lead, South Dakota",44.3522065,-103.7651984,4.0
84,Deer Valley,P.O. Box 1525,Park City,Utah,84060,9570,3000,6570,1.0,13.0,0.0,0.0,5.0,2.0,0.0,660,2.8,0,300,November 28 2023,April 21 2024,8.0,57.0,68.0,56.0,52.0,14.0,1050,1955,2975,2295,33,46,49,39,29,55,https://www.onthesnow.com/utah/deer-valley-resort/ski-resort.html,27,31,10,32,0,0,1,0,153.42424242424244,65.0,299.0,224.88571428571427,101.0,400.0,226.02857142857144,85.0,350.0,232.625,103.0,405.0,199.70588235294116,80.0,325.0,83.53846153846153,37.0,149.0,292.42424242424244,81.0,499.0,388.8,195.0,783.0,439.28571428571433,135.0,861.0,395.3428571428572,119.0,799.0,376.4,132.0,1017.0,195.3076923,114.0,408.0,"P.O. Box 1525, Park City, Utah",40.6460622,-111.49797290000001,21.0
85,Devils Head,S-6330 Bluff Road,Merrim,Wisconsin,53561,995,500,495,0.0,0.0,0.0,5.0,1.0,1.0,2.0,260,1.0,110,45,November 25 2023,March 13 2024,0.2,11.0,10.0,10.0,5.0,0.0,296,449,499,449,33,35,45,35,29,55,https://www.onthesnow.com/wisconsin/devils-head/ski-resort.html,0,0,0,0,0,0,0,0,128.12121212121212,68.0,440.0,128.67741935483872,20.0,419.0,106.86206896551724,37.0,279.0,135.6451612903226,62.0,439.0,136.9655172413793,69.0,419.0,114.44444444444444,59.0,199.0,151.5,69.0,440.0,144.46666666666667,20.0,419.0,143.34615384615384,69.0,439.0,149.35714285714286,69.0,439.0,169.0,69.0,419.0,148.0434783,76.0,299.0,"S-6330 Bluff Road, Merrim, Wisconsin",43.4192575,-89.62482430000001,9.0
86,Diamond Peak,1210 Ski Way,Incline Village,Nevada,89451,8540,1840,6700,0.0,1.0,0.0,2.0,0.0,3.0,1.0,492,2.1,128,300,December 03 2022,May 01 2023,0.8,44.0,55.0,49.0,56.0,4.0,234,419,499,439,44,89,109,89,54,104,https://www.onthesnow.com/nevada/diamond-peak/ski-resort.html,0,0,0,0,0,0,0,0,235.7647058823529,115.0,457.0,258.9411764705883,118.0,650.0,256.11764705882354,115.0,650.0,283.4411764705883,115.0,899.0,276.7428571428572,95.0,795.0,188.4375,87.0,457.0,265.2647058823529,130.0,650.0,336.9428571428571,165.0,1040.0,301.1764705882353,165.0,650.0,370.0,200.0,1040.0,363.2,145.0,1020.0,218.3125,120.0,457.0,"1210 Ski Way, Incline Village, Nevada",39.253817,-119.92377340000002,7.0
87,Discovery,PO Box 221,Anonda,Montana,59711,8150,2380,5770,0.0,0.0,0.0,0.0,5.0,2.0,1.0,25,1.5,116,225,November 17 2023,April 07 2024,4.0,24.0,28.0,36.0,36.0,5.0,249,469,469,258,26,49,38,39,26,49,https://www.onthesnow.com/montana/discovery-ski-area/ski-resort.html,0,0,0,0,0,0,0,0,200.65714285714282,61.0,650.0,202.97142857142856,62.0,425.0,185.5,60.0,425.0,188.08823529411762,60.0,730.0,195.8181818181818,65.0,650.0,162.57142857142858,35.0,425.0,245.2,88.0,650.0,245.2,103.0,770.0,245.6,103.0,730.0,230.94117647058826,87.0,730.0,236.02941176470588,86.0,650.0,245.04166669999998,125.0,570.0,"PO Box 221, Anonda, Montana",46.1262998,-112.94783590000002,8.0
88,Dodge Ridge,P.O. Box 1188,Pinecrest,California,95364,8200,1600,6600,0.0,0.0,0.0,1.0,3.0,3.0,3.0,862,2.0,0,350,November 11 2022,May 07 2023,10.0,52.0,65.0,46.0,68.0,3.0,199,499,499,399,28,59,78,62,28,59,https://www.onthesnow.com/california/dodge-ridge/ski-resort.html,0,0,0,0,0,0,0,1,207.65625,99.0,364.0,207.83333333333331,99.0,425.0,205.0,100.0,490.0,203.5,100.0,490.0,206.2121212121212,95.0,470.0,154.56,70.0,275.0,247.96666666666667,101.0,490.0,245.2333333333333,99.0,425.0,256.3666666666667,101.0,490.0,232.1290322580645,101.0,490.0,241.03030303030303,100.0,470.0,198.29166669999998,109.0,364.0,"P.O. Box 1188, Pinecrest, California",38.1923581,-119.99461310000001,10.0
89,Donner Ski Ranch,P.O. Box 66,Norden,California,95724,8012,750,7031,0.0,0.0,0.0,0.0,1.0,5.0,2.0,60,1.5,163,400,November 12 2022,May 21 2023,0.5,28.0,26.0,28.0,30.0,0.5,299,449,499,449,59,89,89,89,59,89,https://www.onthesnow.com/california/donner-ski-ranch/ski-resort.html,31,38,21,10,0,0,0,0,256.8181818181818,139.0,475.0,280.91176470588243,136.0,650.0,316.85714285714283,139.0,900.0,311.77777777777777,138.0,739.0,300.52777777777777,139.0,999.0,178.76190476190476,100.0,320.0,300.0,144.0,617.0,350.31428571428563,190.0,893.0,323.17142857142863,175.0,650.0,326.65714285714284,190.0,739.0,349.25714285714287,165.0,996.0,231.2727273,83.0,643.0,"P.O. Box 66, Norden, California",39.317355600000006,-120.35418200000001,8.0
90,Dry Hill,P.O. Box 202,Watertown,New York,13601,950,300,650,0.0,0.0,0.0,0.0,0.0,1.0,2.0,26,0.2,0,125,November 24 2023,April 07 2024,0.0,11.0,19.0,22.0,6.0,0.1,296,335,150,30,35,15,49,39,29,55,https://www.onthesnow.com/new-york/dry-hill-ski-area/ski-resort.html,33,34,33,0,0,0,0,0,153.74285714285713,70.0,405.0,156.94285714285715,63.0,481.0,151.31428571428572,70.0,405.0,143.77142857142857,63.0,405.0,149.74285714285713,63.0,405.0,132.0,50.0,360.0,192.05714285714282,89.0,405.0,190.11428571428573,70.0,481.0,185.14705882352942,70.0,405.0,185.8,70.0,405.0,192.54285714285717,70.0,420.0,191.08333330000002,70.0,671.0,"P.O. Box 202, Watertown, New York",43.9747838,-75.91075649999998,3.0
91,Eagle Point,150 S West Village Circle,Beaver,Utah,84713,10600,1500,9100,0.0,0.0,0.0,1.0,1.0,2.0,1.0,650,0.9,0,400,December 09 2023,April 02 2024,12.0,46.0,47.0,44.0,47.0,3.0,299,449,599,429,33,32,39,32,29,45,https://www.onthesnow.com/utah/eagle-point/ski-resort.html,0,0,0,0,0,0,0,0,204.54285714285717,98.0,531.0,197.35294117647058,66.0,587.0,201.64705882352942,67.0,399.0,208.14285714285717,67.0,600.0,185.42857142857144,66.0,521.0,172.39285714285714,46.0,491.0,232.85714285714286,100.0,600.0,228.17142857142858,92.0,600.0,220.02857142857144,94.0,613.0,205.82857142857142,94.0,579.0,223.68571428571425,92.0,600.0,231.41666669999998,46.0,491.0,"150 S West Village Circle, Beaver, Utah",38.3203174,-112.38393049999999,5.0
92,Eagle Rock,1060 Valley of Lakes,Hazelton,Pennsylvania,18202,1810,550,1260,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14,1.0,0,0,January 01 2024,March 10 2024,0.0,2.0,3.0,4.0,0.3,0.0,299,449,599,429,33,46,49,39,29,55,https://www.onthesnow.com/pennsylvania/eagle-rock/ski-resort.html,50,7,43,0,0,0,0,0,144.08823529411762,39.0,375.0,144.48571428571432,39.0,383.0,144.6,39.0,355.0,140.66666666666666,39.0,365.0,139.25,39.0,350.0,102.32142857142857,20.0,330.0,206.03125,39.0,500.0,187.48484848484853,39.0,500.0,189.16129032258064,39.0,500.0,189.11764705882354,39.0,500.0,187.88571428571427,39.0,500.0,177.95,63.0,500.0,"1060 Valley of Lakes, Hazelton, Pennsylvania",40.9584181,-75.97464719999998,3.0
93,Eaglecrest,155 South Seward St.,Juneau,Alaska,99801,2600,1540,1200,0.0,0.0,0.0,0.0,0.0,4.0,0.0,60,2.0,45,350,December 03 2023,April 09 2024,5.0,47.0,43.0,39.0,34.0,4.0,224,405,796,686,28,37,47,42,29,43,https://www.onthesnow.com/alaska/eaglecrest-ski-area/ski-resort.html,32,38,30,0,0,0,0,1,150.7352941176471,69.0,299.0,147.38235294117646,69.0,265.0,154.85714285714286,69.0,320.0,161.54285714285714,69.0,275.0,180.4,69.0,380.0,222.25,147.0,400.0,295.0,130.0,525.0,266.3529411764706,130.0,525.0,268.6857142857143,131.0,525.0,319.85714285714283,136.0,650.0,303.9117647058824,146.0,549.0,334.2272727,175.0,690.0,"155 South Seward St., Juneau, Alaska",58.29979729999999,-134.40682130000002,4.0
94,Eldora Mountain,P.O.  Box 1697,Nederland,Colorado,80466,10600,1400,9200,0.0,0.0,1.0,2.0,1.0,3.0,3.0,680,3.0,147,311,November 17 2023,April 14 2024,15.0,42.0,39.0,47.0,40.0,17.0,329,539,719,19,79,99,79,19,79,99,https://www.onthesnow.com/colorado/eldora-mountain-resort/ski-resort.html,18,48,18,16,0,0,1,0,212.03030303030303,87.0,601.0,231.87878787878788,86.0,558.0,245.05882352941174,87.0,799.0,281.5882352941176,87.0,824.0,259.6470588235294,86.0,695.0,175.28571428571428,85.0,349.0,287.5625,116.0,650.0,257.4375,115.0,532.0,311.6060606060606,116.0,861.0,325.23529411764713,116.0,900.0,304.3939393939394,115.0,788.0,232.78260869999997,115.0,770.0,"P.O.  Box 1697, Nederland, Colorado",39.96137589999999,-105.5108312,10.0
95,Elk Mountain Ski,344 Elk Mountain Road,Union Dale,Pennsylvania,18470,2693,1000,1693,0.0,0.0,0.0,1.0,0.0,5.0,1.0,146,0.7,0,60,December 15 2023,March 19 2024,0.0,9.0,11.0,10.0,9.0,0.1,760,825,925,825,42,55,42,50,69,50,https://www.onthesnow.com/pennsylvania/elk-mountain-ski-resort/ski-resort.html,22,37,41,0,0,0,0,0,231.58823529411762,109.0,850.0,227.70588235294116,104.0,850.0,236.25714285714287,109.0,850.0,254.1818181818182,109.0,850.0,265.0588235294117,104.0,1268.0,203.55555555555557,99.0,850.0,260.15625,125.0,501.0,244.64705882352942,111.0,501.0,250.67647058823533,159.0,501.0,239.6969696969697,129.0,501.0,275.72727272727275,157.0,1255.0,246.70833330000002,99.0,850.0,"344 Elk Mountain Road, Union Dale, Pennsylvania",41.7235523,-75.55373469999998,7.0
96,Elko SnoBowl,491 5th Street,Elko,Nevada,89801,7000,700,6300,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0,19,24,December 30 2023,April 01 2024,0.0,0.0,0.0,0.2,0.0,0.0,525,899,675,20,20,46,49,39,29,55,https://www.onthesnow.com/nevada/elko-snobowl/ski-resort.html,0,0,0,0,0,0,0,0,164.96875,14.0,386.0,154.84375,14.0,383.0,164.34375,14.0,387.0,149.16666666666666,14.0,386.0,147.71875,14.0,383.0,155.60714285714286,14.0,365.0,195.34375,14.0,498.0,190.5625,14.0,494.0,191.96875,14.0,499.0,187.25806451612902,14.0,498.0,183.9259259259259,14.0,496.0,152.95833330000002,14.0,450.0,"491 5th Street, Elko, Nevada",40.8329761,-115.7638673,2.0
97,Elm Creek,12400 James Deane Parkway,Maple Grove,Minnesota,55369,928,60,868,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20,1.0,105,45,December 11 2023,March 31 2024,0.0,2.0,3.0,4.0,1.0,0.0,296,229,229,7,17,17,7,17,17,55,https://www.onthesnow.com/Minnesota/elm-creek/ski-resort.html,0,0,0,0,0,0,0,0,158.36363636363637,55.0,521.0,153.17647058823533,55.0,362.0,155.11764705882354,55.0,725.0,172.88888888888889,65.0,725.0,193.0857142857143,65.0,725.0,131.27272727272728,47.0,725.0,241.93939393939397,100.0,775.0,249.0606060606061,95.0,725.0,222.88235294117646,95.0,725.0,241.9142857142857,72.0,725.0,291.0,95.0,1300.0,249.07692310000002,147.0,725.0,"12400 James Deane Parkway, Maple Grove, Minnesota",45.1379829,-93.4378898,3.0
98,Enchanted Forest,P.O. Box 219,Red River,New Mexico,87558,10078,400,9820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,2.5,130,240,December 10 2023,March 31 2024,2.0,11.0,16.0,10.0,10.0,0.0,296,18,20,18,33,18,20,18,29,15,https://www.onthesnow.com/new-mexico/enchanted-forest-cross-countryski-area/ski-resort.html,0,0,0,0,0,0,0,0,205.36111111111111,100.0,315.0,248.65714285714282,55.0,539.0,220.85714285714286,111.0,317.0,288.8333333333333,95.0,600.0,210.13888888888889,95.0,450.0,167.85714285714286,70.0,304.0,244.6,150.0,450.0,311.42857142857144,132.0,539.0,265.62857142857143,150.0,539.0,315.14285714285717,215.0,564.0,266.8285714285714,130.0,536.0,245.5,126.0,383.0,"P.O. Box 219, Red River, New Mexico",36.708084899999996,-105.4061159,0.0
99,Four Lakes,6005 Forest View Rd.,Lisle,Illinois,60532,500,100,400,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9,0.1,78,24,December 26 2023,April 05 2024,0.0,0.1,0.7,2.0,0.4,0.0,325,478,490,258,33,46,49,39,29,55,https://www.onthesnow.com/illinois/four-lakes/ski-resort.html,0,0,0,0,0,0,0,0,145.45714285714286,41.0,301.0,140.91428571428568,50.0,298.0,142.94285714285715,50.0,465.0,132.37142857142857,50.0,302.0,156.2941176470588,50.0,303.0,157.10714285714286,50.0,256.0,246.97142857142856,101.0,465.0,234.62857142857143,100.0,465.0,223.5142857142857,101.0,465.0,229.57142857142856,101.0,465.0,230.45714285714286,100.0,465.0,211.3181818,119.0,364.0,"6005 Forest View Rd., Lisle, Illinois",41.776711600000006,-88.08047690000001,7.0
100,Giants Ridge,P.O. Box 190,Biwabik,Minnesota,55708,1972,500,1472,0.0,1.0,0.0,1.0,1.0,2.0,2.0,202,0.8,120,85,November 24 2023,April 07 2024,1.0,15.0,11.0,10.0,4.0,0.1,349,459,369,34,49,39,44,62,49,55,https://www.onthesnow.com/Minnesota/giants-ridge-resort/ski-resort.html,30,50,20,0,0,0,0,0,207.66666666666663,83.0,434.0,217.67647058823533,95.0,556.0,207.94117647058826,95.0,450.0,212.27272727272728,84.0,450.0,215.44117647058826,97.0,450.0,161.1304347826087,50.0,350.0,288.8235294117647,88.0,775.0,278.6470588235294,97.0,785.0,245.12121212121207,100.0,498.0,285.42424242424244,100.0,775.0,272.93939393939394,100.0,785.0,179.69565219999998,100.0,350.0,"P.O. Box 190, Biwabik, Minnesota",47.5329811,-92.3401787,7.0
101,Gore Mountain,P.O. Box 470,North Creek,New York,12853-0470,3600,2537,998,1.0,2.0,0.0,4.0,3.0,0.0,4.0,350,4.5,146,150,November 18 2023,April 16 2024,5.0,25.0,26.0,31.0,26.0,5.0,379,479,969,299,65,85,109,85,65,85,https://www.onthesnow.com/new-york/gore-mountain/ski-resort.html,13,45,37,5,0,0,0,0,193.77142857142857,114.0,425.0,194.17142857142858,115.0,505.0,201.34285714285718,115.0,425.0,195.69444444444446,89.0,421.0,197.94285714285718,97.0,418.0,161.0,80.0,289.0,245.65714285714282,121.0,485.0,279.0571428571429,115.0,505.0,273.57142857142856,150.0,510.0,289.25714285714287,147.0,509.0,289.22857142857146,144.0,503.0,214.20833330000002,103.0,475.0,"P.O. Box 470, North Creek, New York",43.6978427,-73.98596579999999,14.0
102,Granby Ranch,P.O. Box 1110,Granby,Colorado,80446,9202,1000,8202,0.0,2.0,0.0,0.0,1.0,1.0,1.0,170,1.3,116,220,December 09 2023,April 07 2024,0.2,19.0,25.0,28.0,21.0,0.7,159,189,369,259,33,49,84,69,29,49,https://www.onthesnow.com/colorado/ski-granby-ranch/ski-resort.html,37,37,2,24,0,0,0,1,122.0,73.0,315.0,121.31428571428572,59.0,310.0,123.8,76.0,300.0,128.61111111111111,71.0,300.0,132.52777777777777,69.0,300.0,109.31578947368419,56.0,245.0,185.94285714285718,81.0,321.0,225.5142857142857,83.0,404.0,202.6,84.0,380.0,208.17142857142858,71.0,433.0,214.0,83.0,405.0,167.19047619999998,82.0,250.0,"P.O. Box 1110, Granby, Colorado",40.086096999999995,-105.9394597,5.0
103,Grand Geneva,PO Box 130,Lake Geneva,Wisconsin,53147,1086,211,875,0.0,0.0,0.0,0.0,0.0,3.0,3.0,30,0.2,90,25,December 10 2023,March 12 2024,0.0,2.0,4.0,5.0,2.0,0.0,525,23,28,39,49,46,49,39,29,55,https://www.onthesnow.com/wisconsin/grand-geneva/ski-resort.html,0,0,0,0,0,0,0,0,173.8529411764706,80.0,363.0,181.88571428571427,100.0,421.0,181.4,83.0,360.0,186.57142857142856,65.0,381.0,228.54285714285717,65.0,1367.0,183.04,86.0,378.0,242.5625,92.0,680.0,236.0857142857143,100.0,523.0,224.2,83.0,435.0,265.11764705882354,65.0,1543.0,321.42424242424244,92.0,1367.0,223.826087,100.0,637.0,"PO Box 130, Lake Geneva, Wisconsin",42.5916836,-88.4334301,6.0
104,Grand Targhee,3300 E. Ski Hill Road,Alta,Wyoming,83414,9920,2270,7851,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2602,2.7,152,500,November 18 2022,April 16 2023,34.0,82.0,80.0,81.0,67.0,35.0,359,499,1049,629,33,46,103,77,29,46,https://www.onthesnow.com/Wyoming/grand-targhee-resort/ski-resort.html,0,0,0,0,0,1,0,0,181.47222222222226,84.0,404.0,193.22857142857143,94.0,403.0,196.0,95.0,408.0,195.91666666666663,95.0,408.0,188.44444444444446,79.0,411.0,160.53333333333333,95.0,361.0,225.62857142857143,89.0,800.0,243.5142857142857,113.0,800.0,231.82857142857142,114.0,432.0,221.37142857142857,111.0,461.0,241.22857142857143,112.0,638.0,263.7692308,123.0,700.0,"3300 E. Ski Hill Road, Alta, Wyoming",43.7877125,-110.9623737,6.0
105,Granite Peak,P.O. Box 5010,Wausau,Wisconsin,54402-5010,1942,700,1242,0.0,2.0,1.0,0.0,2.0,0.0,2.0,140,0.9,136,75,November 25 2023,April 14 2024,5.0,15.0,10.0,12.0,5.0,3.0,799,85,95,95,95,105,105,39,29,55,https://www.onthesnow.com/wisconsin/granite-peak-ski-area/ski-resort.html,0,0,0,0,0,0,0,1,143.0,68.0,336.0,132.57142857142858,65.0,320.0,128.4857142857143,40.0,336.0,142.94285714285715,40.0,419.0,145.68571428571428,65.0,349.0,113.75,40.0,240.0,200.45714285714286,73.0,351.0,202.22857142857143,80.0,499.0,202.62857142857143,80.0,397.0,214.37142857142857,80.0,419.0,209.57142857142856,80.0,376.0,175.25,79.0,338.0,"P.O. Box 5010, Wausau, Wisconsin",44.9591352,-89.6301221,7.0
106,Great Divide,P.O. Box SKI,Marysville,Montana,59640,7330,1580,5750,0.0,0.0,0.0,0.0,0.0,5.0,1.0,150,3.0,94,180,December 09 2023,April 28 2024,6.0,22.0,20.0,31.0,24.0,4.0,270,600,270,20,40,48,20,20,40,48,https://www.onthesnow.com/montana/great-divide/ski-resort.html,7,47,30,17,0,0,0,0,167.41176470588238,79.0,384.0,158.0,70.0,381.0,168.45454545454547,79.0,384.0,164.66666666666666,70.0,384.0,178.2121212121212,71.0,550.0,148.83333333333334,50.0,660.0,205.94285714285718,87.0,660.0,197.52941176470588,86.0,350.0,194.2352941176471,119.0,350.0,211.64705882352942,120.0,350.0,218.38235294117646,120.0,550.0,195.41666669999998,80.0,660.0,"P.O. Box SKI, Marysville, Montana",46.7505198,-112.3012261,6.0
107,Greek Peak,2000 New YorkS Route 392,Cortland,New York,13045,2100,952,1148,0.0,0.0,0.0,1.0,2.0,3.0,2.0,184,1.5,110,122,November 25 2023,April 03 2024,0.6,16.0,19.0,28.0,14.0,0.6,625,655,655,80,94,94,80,94,94,75,https://www.onthesnow.com/new-york/greek-peak/ski-resort.html,36,29,27,9,0,0,0,1,173.2352941176471,67.0,347.0,171.77142857142857,66.0,400.0,171.22857142857143,80.0,400.0,189.42857142857144,83.0,500.0,203.3636363636364,85.0,500.0,141.96428571428572,47.0,299.0,253.5142857142857,101.0,600.0,249.4,135.0,513.0,250.34285714285718,111.0,624.0,251.28571428571428,100.0,507.0,263.45714285714286,100.0,712.0,204.91666669999998,90.0,497.0,"2000 NYS Route 392, Cortland, New York",42.508437,-76.14503599999998,8.0
108,Gunstock,PO Box 1307,Lonia,New Hampshire,03247-1307,2300,1400,900,0.0,2.0,0.0,2.0,2.0,0.0,2.0,176,1.5,106,120,December 16 2023,April 07 2024,0.0,21.0,24.0,32.0,20.0,2.0,49,449,749,449,33,60,84,60,29,72,https://www.onthesnow.com/new-hampshire/gunstock/ski-resort.html,12,45,41,2,0,0,0,0,170.6,85.0,550.0,149.02857142857144,85.0,266.0,162.17142857142858,85.0,325.0,159.77777777777774,85.0,300.0,158.2,85.0,245.0,137.41666666666666,80.0,499.0,216.68571428571425,110.0,550.0,221.68571428571425,123.0,710.0,238.6,125.0,750.0,259.2857142857143,125.0,750.0,270.0857142857143,125.0,750.0,215.125,84.0,466.0,"PO Box 1307, Lonia, New Hampshire",43.527854600000005,-71.47035090000001,8.0
109,Heavenly Mountain,PO Box 2180,Stateline,California,96150,10067,3500,7170,2.0,6.0,2.0,1.0,5.0,3.0,8.0,3379,5.5,155,360,November 12 2022,May 07 2023,15.0,70.0,64.0,68.0,52.0,14.0,271,437,545,104,155,189,155,124,185,225,https://www.onthesnow.com/california/heavenly-mountain-resort/ski-resort.html,7,60,27,5,1,0,0,0,219.63636363636363,135.0,428.0,236.2647058823529,92.0,480.0,216.85714285714286,90.0,400.0,262.0588235294117,112.0,725.0,262.3636363636364,92.0,850.0,161.33333333333334,62.0,403.0,318.90909090909093,175.0,725.0,369.6060606060606,175.0,1063.0,366.7352941176471,110.0,1063.0,364.3636363636364,125.0,1063.0,393.66666666666674,175.0,1006.0,198.2941176,67.0,482.0,"PO Box 2180, Stateline, California",38.962407899999995,-119.9399029,27.0
110,Hidden Valley,17409 Hidden Valley Drive,Eureka,Missouri,63025,2566,310,2316,0.0,0.0,0.0,2.0,2.0,0.0,3.0,30,0.1,0,26,December 30 2023,March 03 2024,0.0,0.3,5.0,4.0,0.6,0.0,439,859,10,30,49,10,10,30,49,10,https://www.onthesnow.com/ssouri/hidden-valley-ski-area/ski-resort.html,40,47,13,0,1,0,0,0,142.14705882352942,51.0,272.0,137.54285714285714,51.0,266.0,139.02857142857144,51.0,272.0,140.02857142857144,51.0,272.0,145.51428571428568,51.0,272.0,120.92,33.0,221.0,185.94285714285718,94.0,350.0,188.02857142857144,93.0,352.0,190.0606060606061,96.0,350.0,185.0,96.0,350.0,204.7352941176471,94.0,478.0,169.375,33.0,478.0,"17409 Hidden Valley Drive, Eureka, Missouri",38.5353656,-90.6507394,7.0
111,Hilltop,7015 Abbott Road,Anchorage,Alaska,99507,2090,294,1796,0.0,0.0,0.0,0.0,1.0,0.0,2.0,30,1.0,150,69,December 01 2023,April 01 2024,0.7,3.0,3.0,0.7,0.5,0.0,435,585,610,435,22,28,30,22,32,34,https://www.onthesnow.com/alaska/hilltop-ski-area/ski-resort.html,0,0,0,0,0,0,0,0,139.3235294117647,58.0,450.0,138.4857142857143,60.0,450.0,120.55882352941177,60.0,374.0,123.48571428571428,60.0,373.0,117.5,64.0,373.0,115.38095238095238,45.0,181.0,187.0606060606061,75.0,450.0,186.7647058823529,75.0,450.0,189.37142857142857,75.0,450.0,186.17647058823533,75.0,450.0,183.45454545454547,69.0,490.0,186.45,85.0,309.0,"7015 Abbott Road, Anchorage, Alaska",61.14081299999999,-149.7448328,3.0
112,Hogadon,1800 East K St.,Casper,Wyoming,82601-1553,8000,640,7400,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32,0.6,87,137,December 09 2023,April 07 2024,0.0,22.0,26.0,29.0,35.0,8.0,350,400,450,450,37,47,55,47,37,47,https://www.onthesnow.com/Wyoming/hogadon/ski-resort.html,7,29,39,25,0,0,0,0,139.9375,60.0,299.0,149.54545454545453,60.0,325.0,152.02941176470586,60.0,351.0,139.57575757575756,60.0,351.0,157.6969696969697,60.0,400.0,129.60714285714286,43.0,375.0,185.17647058823533,60.0,375.0,190.14285714285717,60.0,420.0,182.05882352941174,60.0,375.0,206.52941176470588,60.0,545.0,208.94285714285718,60.0,545.0,171.75,68.0,400.0,"1800 East K St., Casper, Wyoming",42.8620625,-106.29823370000001,2.0
113,Holiday Mountain,99 Holiday Mountain Road,Monticello,New York,12701,1550,400,1150,0.0,0.0,0.0,1.0,0.0,1.0,2.0,37,0.4,75,50,December 26 2023,April 02 2024,0.0,0.6,4.0,7.0,0.1,0.0,305,305,305,305,27,27,27,27,42,42,https://www.onthesnow.com/new-york/holiday-mountain/ski-resort.html,0,0,0,0,0,0,0,0,226.08823529411762,107.0,400.0,212.9375,107.0,474.0,227.67741935483872,83.0,531.0,205.2333333333333,107.0,356.0,212.96666666666667,107.0,433.0,141.34615384615384,50.0,312.0,300.125,120.0,639.0,298.62068965517244,120.0,701.0,299.89655172413785,120.0,682.0,318.17857142857144,120.0,733.0,322.8620689655172,120.0,789.0,212.75,77.0,357.0,"99 Holiday Mountain Road, Monticello, New York",41.6294773,-74.6140113,4.0
114,Holiday Valley,P.O. Box 370,Ellicotville,New York,14731-0370,2250,750,1500,0.0,4.0,0.0,7.0,0.0,0.0,2.0,266,1.0,116,180,November 25 2023,April 06 2024,7.0,37.0,46.0,43.0,27.0,2.0,296,849,1149,1149,33,64,80,64,29,75,https://www.onthesnow.com/new-york/holiday-valley/ski-resort.html,37,25,37,2,0,0,0,0,190.7741935483871,95.0,525.0,198.84848484848484,79.0,502.0,195.14705882352942,95.0,506.0,213.3636363636364,95.0,505.0,191.73076923076923,95.0,502.0,120.89473684210527,67.0,205.0,257.5925925925926,121.0,507.0,270.26666666666665,120.0,598.0,279.06666666666666,120.0,676.0,274.84615384615387,121.0,644.0,260.2631578947368,120.0,529.0,182.1875,89.0,525.0,"P.O. Box 370, Ellicotville, New York",42.2750639,-78.67280710000001,13.0
